Pair ID,Explanation
pair_0,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'B'. 'A' is shorter plan than 'C' and 'D' and 'F' and 'G' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'P' and 'Q' and 'R' and 'S' and 'T'. 'A' is slower plan than 'D' and 'H' and 'I' and 'L' and 'N' and 'R' and 'T'. 'A' is better plan than 'C' and 'G' and 'K' and 'Q' and 'S'. 'A' is cheaper plan than 'H' and 'J' and 'L' and 'R' and 'T'. 'A' has expected makespan 'A makespan', which has a higher value than 'B makespan'; while 'B' has expected makespan 'B makespan'. 'A' has number of tasks 'A number of tasks'; while 'B' has number of tasks 'B number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost'; while 'B' has cost 'B cost', which has a higher value than 'A cost'. 'D makespan' has a higher value than 'B makespan', while 'A makespan' has a higher value than 'D makespan', while 'H makespan' has a higher value than 'B makespan', while 'I makespan' has a higher value than 'B makespan', while 'L makespan' has a higher value than 'B makespan', while 'N makespan' has a higher value than 'B makespan', while 'R makespan' has a higher value than 'B makespan', while 'T makespan' has a higher value than 'B makespan'. 'B makespan' has value '21.0', while 'A makespan' has value '34.5'. 'B number of tasks' has value '7.0', while 'A number of tasks' has value '3.0'. 'B cost' has value '39.0', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'H makespan', and 'I makespan', and also has a higher value than 'L makespan', and also has a higher value than 'N makespan', and also has a higher value than 'R makespan', and also has a higher value than 'T makespan', and 'C number of tasks' has a higher value than 'A number of tasks', and 'D number of tasks' has a higher value than 'A number of tasks', and 'F number of tasks' has a higher value than 'A number of tasks', and 'G number of tasks' has a higher value than 'A number of tasks', and 'H number of tasks' has a higher value than 'A number of tasks', and 'I number of tasks' has a higher value than 'A number of tasks', and 'J number of tasks' has a higher value than 'A number of tasks', and 'K number of tasks' has a higher value than 'A number of tasks', and 'L number of tasks' has a higher value than 'A number of tasks', and 'N number of tasks' has a higher value than 'A number of tasks', and 'P number of tasks' has a higher value than 'A number of tasks', and 'Q number of tasks' has a higher value than 'A number of tasks', and 'R number of tasks' has a higher value than 'A number of tasks', and 'S number of tasks' has a higher value than 'A number of tasks', and 'T number of tasks' has a higher value than 'A number of tasks', and 'H cost' has a higher value than 'A cost', and 'J cost' has a higher value than 'A cost', and 'L cost' has a higher value than 'A cost', and 'R cost' has a higher value than 'A cost', and 'T cost' has a higher value than 'A cost', and 'B number of tasks' has a higher value than 'C number of tasks', and 'D number of tasks', and also has a higher value than 'F number of tasks', and also has a higher value than 'G number of tasks', and also has a higher value than 'H number of tasks', and also has a higher value than 'I number of tasks', and also has a higher value than 'J number of tasks', and also has a higher value than 'K number of tasks', and also has a higher value than 'L number of tasks', and also has a higher value than 'N number of tasks', and also has a higher value than 'P number of tasks', and also has a higher value than 'Q number of tasks', and also has a higher value than 'R number of tasks', and also has a higher value than 'S number of tasks', and also has a higher value than 'T number of tasks', and 'B cost' has a higher value than 'H cost', and 'J cost', and also has a higher value than 'L cost', and also has a higher value than 'R cost', and also has a higher value than 'T cost'. 'C' is shorter plan than 'B', and 'J' is shorter plan than 'B'. 'D' is slower plan than 'B'. 'J' is better plan than 'B'. 
"
pair_1,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'C'. 'A' is cheaper plan than 'B' and 'D' and 'G' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'Q' and 'R' and 'S' and 'T'. 'A' is shorter plan than 'D' and 'F' and 'G' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'R' and 'S'. 'A' is faster plan than 'G' and 'K' and 'Q' and 'S'. 'A' is better plan than 'G' and 'K' and 'Q' and 'S'. 'A' has expected makespan 'A makespan', which has a lower value than 'C makespan'; while 'C' has expected makespan 'C makespan'. 'A' has number of tasks 'A number of tasks', which has a lower value than 'C number of tasks'; while 'C' has number of tasks 'C number of tasks'. 'A' has cost 'A cost', which has a lower value than 'C cost'; while 'C' has cost 'C cost'. 'G makespan' has a lower value than 'C makespan', while 'A makespan' has a lower value than 'G makespan', while 'K makespan' has a lower value than 'C makespan', while 'Q makespan' has a lower value than 'C makespan', while 'S makespan' has a lower value than 'C makespan'. 'C makespan' has value '49.8', while 'A makespan' has value '34.5'. 'C number of tasks' has value '6.0', while 'A number of tasks' has value '3.0'. 'C cost' has value '67.8', while 'A cost' has value '24.5'. 'A makespan' has a lower value than 'K makespan', and 'Q makespan', and also has a lower value than 'S makespan', and 'A number of tasks' has a lower value than 'D number of tasks', and 'F number of tasks', and also has a lower value than 'G number of tasks', and also has a lower value than 'H number of tasks', and also has a lower value than 'I number of tasks', and also has a lower value than 'K number of tasks', and also has a lower value than 'L number of tasks', and also has a lower value than 'N number of tasks', and also has a lower value than 'P number of tasks', and also has a lower value than 'R number of tasks', and also has a lower value than 'S number of tasks', and 'A cost' has a lower value than 'B cost', and 'D cost', and also has a lower value than 'G cost', and also has a lower value than 'H cost', and also has a lower value than 'I cost', and also has a lower value than 'J cost', and also has a lower value than 'K cost', and also has a lower value than 'L cost', and also has a lower value than 'N cost', and also has a lower value than 'Q cost', and also has a lower value than 'R cost', and also has a lower value than 'S cost', and also has a lower value than 'T cost', and 'D number of tasks' has a lower value than 'C number of tasks', and 'F number of tasks' has a lower value than 'C number of tasks', and 'G number of tasks' has a lower value than 'C number of tasks', and 'H number of tasks' has a lower value than 'C number of tasks', and 'I number of tasks' has a lower value than 'C number of tasks', and 'K number of tasks' has a lower value than 'C number of tasks', and 'L number of tasks' has a lower value than 'C number of tasks', and 'N number of tasks' has a lower value than 'C number of tasks', and 'P number of tasks' has a lower value than 'C number of tasks', and 'R number of tasks' has a lower value than 'C number of tasks', and 'S number of tasks' has a lower value than 'C number of tasks', and 'B cost' has a lower value than 'C cost', and 'D cost' has a lower value than 'C cost', and 'G cost' has a lower value than 'C cost', and 'H cost' has a lower value than 'C cost', and 'I cost' has a lower value than 'C cost', and 'J cost' has a lower value than 'C cost', and 'K cost' has a lower value than 'C cost', and 'L cost' has a lower value than 'C cost', and 'N cost' has a lower value than 'C cost', and 'Q cost' has a lower value than 'C cost', and 'R cost' has a lower value than 'C cost', and 'S cost' has a lower value than 'C cost', and 'T cost' has a lower value than 'C cost'. 'B' is cheaper plan than 'C', and 'D' is cheaper plan than 'C', and 'G' is cheaper plan than 'C'. 'D' is better plan than 'C', and 'G' is better plan than 'C'. 'G' is faster plan than 'C'. 
"
pair_2,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'D'. 'A' is cheaper plan than 'B' and 'H' and 'I' and 'J' and 'L' and 'N' and 'R' and 'T'. 'A' is shorter plan than 'H' and 'I' and 'K' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan', which has a higher value than 'D makespan'; while 'D' has expected makespan 'D makespan'. 'A' has number of tasks 'A number of tasks'; while 'D' has number of tasks 'D number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost'; while 'D' has cost 'D cost', which has a higher value than 'A cost'. 'A' is better plan than 'K' and 'S'. 'D' is plan with same number of tasks as 'S'. 'D number of tasks' has a higher value than 'H number of tasks', and 'I number of tasks', and also has a higher value than 'K number of tasks', and also has a higher value than 'P number of tasks', and also has a higher value than 'R number of tasks', while 'H number of tasks' has a higher value than 'A number of tasks', while 'I number of tasks' has a higher value than 'A number of tasks', while 'K number of tasks' has a higher value than 'A number of tasks', while 'P number of tasks' has a higher value than 'A number of tasks', while 'R number of tasks' has a higher value than 'A number of tasks'. 'D makespan' has value '31.4', while 'A makespan' has value '34.5'. 'D number of tasks' has value '4.5', while 'A number of tasks' has value '3.0'. 'D cost' has value '42.9', while 'A cost' has value '24.5'. 'S number of tasks' has a higher value than 'A number of tasks', and 'B cost' has a higher value than 'A cost', and 'H cost' has a higher value than 'A cost', and 'I cost' has a higher value than 'A cost', and 'J cost' has a higher value than 'A cost', and 'L cost' has a higher value than 'A cost', and 'N cost' has a higher value than 'A cost', and 'R cost' has a higher value than 'A cost', and 'T cost' has a higher value than 'A cost', and 'D cost' has a higher value than 'B cost', and 'H cost', and also has a higher value than 'I cost', and also has a higher value than 'J cost', and also has a higher value than 'L cost', and also has a higher value than 'N cost', and also has a higher value than 'R cost', and also has a higher value than 'T cost'. 'B' is cheaper plan than 'D'. 'D number of tasks' has the same value as 'S number of tasks'. 
"
pair_3,"'A' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'E'. 'A' is slower plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'L' and 'N' and 'O' and 'R' and 'T'. 'A' has expected makespan 'A makespan', which has a higher value than 'E makespan'; while 'E' has expected makespan 'E makespan'. 'A' has number of tasks 'A number of tasks', which has a higher value than 'E number of tasks'; while 'E' has number of tasks 'E number of tasks'. 'A' has cost 'A cost', which has a higher value than 'E cost'; while 'E' has cost 'E cost'. 'A' is more expensive plan than 'F' and 'O' and 'P'. 'A' is worse plan than 'O'. 'B makespan' has a higher value than 'E makespan', while 'A makespan' has a higher value than 'B makespan', while 'D makespan' has a higher value than 'E makespan', while 'H makespan' has a higher value than 'E makespan', while 'I makespan' has a higher value than 'E makespan', while 'J makespan' has a higher value than 'E makespan', while 'L makespan' has a higher value than 'E makespan', while 'N makespan' has a higher value than 'E makespan', while 'O makespan' has a higher value than 'E makespan', while 'R makespan' has a higher value than 'E makespan', while 'T makespan' has a higher value than 'E makespan'. 'E makespan' has value '17.2', while 'A makespan' has value '34.5'. 'E number of tasks' has value '2.8', while 'A number of tasks' has value '3.0'. 'E cost' has value '12.2', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'D makespan', and 'H makespan', and also has a higher value than 'I makespan', and also has a higher value than 'J makespan', and also has a higher value than 'L makespan', and also has a higher value than 'N makespan', and also has a higher value than 'O makespan', and also has a higher value than 'R makespan', and also has a higher value than 'T makespan', and 'A cost' has a higher value than 'F cost', and 'O cost', and also has a higher value than 'P cost', and 'F cost' has a higher value than 'E cost', and 'O cost' has a higher value than 'E cost', and 'P cost' has a higher value than 'E cost'. 'B' is worse plan than 'E', and 'D' is worse plan than 'E', and 'H' is worse plan than 'E', and 'L' is worse plan than 'E'. 'B' is slower plan than 'E'. 'F' is more expensive plan than 'E'. 
"
pair_4,"'A' is more expensive plan than and is shorter plan than and is slower plan than 'F'. 'A' is slower plan than 'B' and 'D' and 'E' and 'H' and 'I' and 'J' and 'L' and 'N' and 'O' and 'P' and 'R' and 'T'. 'A' is shorter plan than 'D' and 'H' and 'I' and 'K' and 'L' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan', which has a higher value than 'F makespan'; while 'F' has expected makespan 'F makespan'. 'A' has number of tasks 'A number of tasks'; while 'F' has number of tasks 'F number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost', which has a higher value than 'F cost'; while 'F' has cost 'F cost'. 'A' is worse plan than 'E' and 'O'. 'A' is more expensive plan than 'O' and 'P'. 'B makespan' has a higher value than 'F makespan', while 'A makespan' has a higher value than 'B makespan', while 'D makespan' has a higher value than 'F makespan', while 'E makespan' has a higher value than 'F makespan', while 'H makespan' has a higher value than 'F makespan', while 'I makespan' has a higher value than 'F makespan', while 'J makespan' has a higher value than 'F makespan', while 'L makespan' has a higher value than 'F makespan', while 'N makespan' has a higher value than 'F makespan', while 'O makespan' has a higher value than 'F makespan', while 'P makespan' has a higher value than 'F makespan', while 'R makespan' has a higher value than 'F makespan', while 'T makespan' has a higher value than 'F makespan'. 'F makespan' has value '10.1', while 'A makespan' has value '34.5'. 'F number of tasks' has value '5.3', while 'A number of tasks' has value '3.0'. 'F cost' has value '15.6', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'D makespan', and 'E makespan', and also has a higher value than 'H makespan', and also has a higher value than 'I makespan', and also has a higher value than 'J makespan', and also has a higher value than 'L makespan', and also has a higher value than 'N makespan', and also has a higher value than 'O makespan', and also has a higher value than 'P makespan', and also has a higher value than 'R makespan', and also has a higher value than 'T makespan', and 'D number of tasks' has a higher value than 'A number of tasks', and 'H number of tasks' has a higher value than 'A number of tasks', and 'I number of tasks' has a higher value than 'A number of tasks', and 'K number of tasks' has a higher value than 'A number of tasks', and 'L number of tasks' has a higher value than 'A number of tasks', and 'P number of tasks' has a higher value than 'A number of tasks', and 'R number of tasks' has a higher value than 'A number of tasks', and 'S number of tasks' has a higher value than 'A number of tasks', and 'A cost' has a higher value than 'O cost', and 'P cost', and 'F number of tasks' has a higher value than 'D number of tasks', and 'H number of tasks', and also has a higher value than 'I number of tasks', and also has a higher value than 'K number of tasks', and also has a higher value than 'L number of tasks', and also has a higher value than 'P number of tasks', and also has a higher value than 'R number of tasks', and also has a higher value than 'S number of tasks', and 'O cost' has a higher value than 'F cost', and 'P cost' has a higher value than 'F cost'. 'K' is worse plan than 'A', and 'S' is worse plan than 'A', and 'B' is worse plan than 'F'. 'B' is slower plan than 'F', and 'E' is slower plan than 'F', and 'P' is slower plan than 'F'. 
"
pair_5,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'G'. 'A' is cheaper plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'R' and 'S' and 'T'. 'A' is shorter plan than 'D' and 'F' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan', which has a lower value than 'G makespan'; while 'G' has expected makespan 'G makespan'. 'A' has number of tasks 'A number of tasks', which has a lower value than 'G number of tasks'; while 'G' has number of tasks 'G number of tasks'. 'A' has cost 'A cost', which has a lower value than 'G cost'; while 'G' has cost 'G cost'. 'A' is faster plan than 'K' and 'S'. 'A' is better plan than 'K' and 'S'. 'K makespan' has a lower value than 'G makespan', while 'A makespan' has a lower value than 'K makespan', while 'S makespan' has a lower value than 'G makespan'. 'G makespan' has value '44.9', while 'A makespan' has value '34.5'. 'G number of tasks' has value '5.8', while 'A number of tasks' has value '3.0'. 'G cost' has value '58.9', while 'A cost' has value '24.5'. 'A makespan' has a lower value than 'S makespan', and 'A number of tasks' has a lower value than 'D number of tasks', and 'F number of tasks', and also has a lower value than 'H number of tasks', and also has a lower value than 'I number of tasks', and also has a lower value than 'K number of tasks', and also has a lower value than 'L number of tasks', and also has a lower value than 'N number of tasks', and also has a lower value than 'P number of tasks', and also has a lower value than 'R number of tasks', and also has a lower value than 'S number of tasks', and 'A cost' has a lower value than 'B cost', and 'D cost', and also has a lower value than 'H cost', and also has a lower value than 'I cost', and also has a lower value than 'J cost', and also has a lower value than 'K cost', and also has a lower value than 'L cost', and also has a lower value than 'N cost', and also has a lower value than 'R cost', and also has a lower value than 'S cost', and also has a lower value than 'T cost', and 'D number of tasks' has a lower value than 'G number of tasks', and 'F number of tasks' has a lower value than 'G number of tasks', and 'H number of tasks' has a lower value than 'G number of tasks', and 'I number of tasks' has a lower value than 'G number of tasks', and 'K number of tasks' has a lower value than 'G number of tasks', and 'L number of tasks' has a lower value than 'G number of tasks', and 'N number of tasks' has a lower value than 'G number of tasks', and 'P number of tasks' has a lower value than 'G number of tasks', and 'R number of tasks' has a lower value than 'G number of tasks', and 'S number of tasks' has a lower value than 'G number of tasks', and 'B cost' has a lower value than 'G cost', and 'D cost' has a lower value than 'G cost', and 'H cost' has a lower value than 'G cost', and 'I cost' has a lower value than 'G cost', and 'J cost' has a lower value than 'G cost', and 'K cost' has a lower value than 'G cost', and 'L cost' has a lower value than 'G cost', and 'N cost' has a lower value than 'G cost', and 'R cost' has a lower value than 'G cost', and 'S cost' has a lower value than 'G cost', and 'T cost' has a lower value than 'G cost'. 'B' is cheaper plan than 'G'. 
"
pair_6,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'H'. 'A' is slower plan than 'D' and 'I' and 'N' and 'R'. 'A' has expected makespan 'A makespan', which has a higher value than 'H makespan'; while 'H' has expected makespan 'H makespan'. 'A' has number of tasks 'A number of tasks'; while 'H' has number of tasks 'H number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost'; while 'H' has cost 'H cost', which has a higher value than 'A cost'. 'A' is cheaper plan than 'J'. 'H' is better plan than 'D'. 'D makespan' has a higher value than 'H makespan', while 'A makespan' has a higher value than 'D makespan', while 'I makespan' has a higher value than 'H makespan', while 'N makespan' has a higher value than 'H makespan', while 'R makespan' has a higher value than 'H makespan'. 'H makespan' has value '25.7', while 'A makespan' has value '34.5'. 'H number of tasks' has value '3.4', while 'A number of tasks' has value '3.0'. 'H cost' has value '31.1', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'I makespan', and 'N makespan', and also has a higher value than 'R makespan', and 'J cost' has a higher value than 'A cost', and 'H cost' has a higher value than 'J cost'. 
"
pair_7,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'I'. 'A' is cheaper plan than 'B' and 'H' and 'J' and 'L' and 'N' and 'R' and 'T'. 'A' is shorter plan than 'H' and 'K' and 'P' and 'R'. 'A' has expected makespan 'A makespan', which has a higher value than 'I makespan'; while 'I' has expected makespan 'I makespan'. 'A' has number of tasks 'A number of tasks'; while 'I' has number of tasks 'I number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost'; while 'I' has cost 'I cost', which has a higher value than 'A cost'. 'A' is slower plan than 'D' and 'N' and 'R'. 'A' is better plan than 'K'; while 'I' is better plan than 'D'. 'I' is plan with same cost as 'N'. 'D makespan' has a higher value than 'I makespan', while 'A makespan' has a higher value than 'D makespan', while 'N makespan' has a higher value than 'I makespan', while 'R makespan' has a higher value than 'I makespan'. 'I makespan' has value '26.6', while 'A makespan' has value '34.5'. 'I number of tasks' has value '4.2', while 'A number of tasks' has value '3.0'. 'I cost' has value '41.8', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'N makespan', and 'R makespan', and 'H number of tasks' has a higher value than 'A number of tasks', and 'K number of tasks' has a higher value than 'A number of tasks', and 'P number of tasks' has a higher value than 'A number of tasks', and 'R number of tasks' has a higher value than 'A number of tasks', and 'B cost' has a higher value than 'A cost', and 'H cost' has a higher value than 'A cost', and 'J cost' has a higher value than 'A cost', and 'L cost' has a higher value than 'A cost', and 'N cost' has a higher value than 'A cost', and 'R cost' has a higher value than 'A cost', and 'T cost' has a higher value than 'A cost', and 'I number of tasks' has a higher value than 'H number of tasks', and 'K number of tasks', and also has a higher value than 'P number of tasks', and also has a higher value than 'R number of tasks', and 'I cost' has a higher value than 'B cost', and 'H cost', and also has a higher value than 'J cost', and also has a higher value than 'L cost', and also has a higher value than 'R cost', and also has a higher value than 'T cost'. 'B' is cheaper plan than 'I'. 'I cost' has the same value as 'N cost'. 
"
pair_8,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'J'. 'A' is shorter plan than 'C' and 'D' and 'F' and 'G' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'Q' and 'R' and 'S' and 'T'. 'A' is slower plan than 'B' and 'D' and 'H' and 'I' and 'L' and 'N' and 'O' and 'R' and 'T'. 'A' is better plan than 'C' and 'G' and 'K' and 'Q' and 'S'; while 'J' is better plan than 'B'. 'A' has expected makespan 'A makespan', which has a higher value than 'J makespan'; while 'J' has expected makespan 'J makespan'. 'A' has number of tasks 'A number of tasks'; while 'J' has number of tasks 'J number of tasks', which has a higher value than 'A number of tasks'. 'A' has cost 'A cost'; while 'J' has cost 'J cost', which has a higher value than 'A cost'. 'B makespan' has a higher value than 'J makespan', while 'A makespan' has a higher value than 'B makespan', while 'D makespan' has a higher value than 'J makespan', while 'H makespan' has a higher value than 'J makespan', while 'I makespan' has a higher value than 'J makespan', while 'L makespan' has a higher value than 'J makespan', while 'N makespan' has a higher value than 'J makespan', while 'O makespan' has a higher value than 'J makespan', while 'R makespan' has a higher value than 'J makespan', while 'T makespan' has a higher value than 'J makespan'. 'J makespan' has value '18.3', while 'A makespan' has value '34.5'. 'J number of tasks' has value '6.9', while 'A number of tasks' has value '3.0'. 'J cost' has value '28.5', while 'A cost' has value '24.5'. 'A makespan' has a higher value than 'D makespan', and 'H makespan', and also has a higher value than 'I makespan', and also has a higher value than 'L makespan', and also has a higher value than 'N makespan', and also has a higher value than 'O makespan', and also has a higher value than 'R makespan', and also has a higher value than 'T makespan', and 'C number of tasks' has a higher value than 'A number of tasks', and 'D number of tasks' has a higher value than 'A number of tasks', and 'F number of tasks' has a higher value than 'A number of tasks', and 'G number of tasks' has a higher value than 'A number of tasks', and 'H number of tasks' has a higher value than 'A number of tasks', and 'I number of tasks' has a higher value than 'A number of tasks', and 'K number of tasks' has a higher value than 'A number of tasks', and 'L number of tasks' has a higher value than 'A number of tasks', and 'N number of tasks' has a higher value than 'A number of tasks', and 'P number of tasks' has a higher value than 'A number of tasks', and 'Q number of tasks' has a higher value than 'A number of tasks', and 'R number of tasks' has a higher value than 'A number of tasks', and 'S number of tasks' has a higher value than 'A number of tasks', and 'T number of tasks' has a higher value than 'A number of tasks', and 'J number of tasks' has a higher value than 'C number of tasks', and 'D number of tasks', and also has a higher value than 'F number of tasks', and also has a higher value than 'G number of tasks', and also has a higher value than 'H number of tasks', and also has a higher value than 'I number of tasks', and also has a higher value than 'K number of tasks', and also has a higher value than 'L number of tasks', and also has a higher value than 'N number of tasks', and also has a higher value than 'P number of tasks', and also has a higher value than 'Q number of tasks', and also has a higher value than 'R number of tasks', and also has a higher value than 'S number of tasks', and also has a higher value than 'T number of tasks'. 'O' is better plan than 'A'. 'B' is slower plan than 'J'. 
"
pair_9,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'K'. 'A' is cheaper plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'L' and 'N' and 'R' and 'S' and 'T'. 'A' has expected makespan 'A makespan', which has a lower value than 'K makespan'; while 'K' has expected makespan 'K makespan'. 'A' has number of tasks 'A number of tasks', which has a lower value than 'K number of tasks'; while 'K' has number of tasks 'K number of tasks'. 'A' has cost 'A cost', which has a lower value than 'K cost'; while 'K' has cost 'K cost'. 'A' is shorter plan than 'H'. 'A' is faster plan than 'S'. 'A' is better plan than 'S'. 'B cost' has a lower value than 'K cost', while 'A cost' has a lower value than 'B cost', while 'D cost' has a lower value than 'K cost', while 'H cost' has a lower value than 'K cost', while 'I cost' has a lower value than 'K cost', while 'J cost' has a lower value than 'K cost', while 'L cost' has a lower value than 'K cost', while 'N cost' has a lower value than 'K cost', while 'R cost' has a lower value than 'K cost', while 'S cost' has a lower value than 'K cost', while 'T cost' has a lower value than 'K cost'. 'K makespan' has value '38.1', while 'A makespan' has value '34.5'. 'S makespan' has a lower value than 'K makespan', while 'A makespan' has a lower value than 'S makespan'. 'K number of tasks' has value '3.5', while 'A number of tasks' has value '3.0'. 'H number of tasks' has a lower value than 'K number of tasks', while 'A number of tasks' has a lower value than 'H number of tasks'. 'K cost' has value '50.1', while 'A cost' has value '24.5'. 'A cost' has a lower value than 'D cost', and 'H cost', and also has a lower value than 'I cost', and also has a lower value than 'J cost', and also has a lower value than 'L cost', and also has a lower value than 'N cost', and also has a lower value than 'R cost', and also has a lower value than 'S cost', and also has a lower value than 'T cost'. 'B' is cheaper plan than 'K'. 
"
