Pair ID,Explanation
pair_0,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'B'. 'A' is shorter plan than 'C' and 'D' and 'F' and 'G' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'P' and 'Q' and 'R' and 'S' and 'T'. 'A' is slower plan than 'D' and 'H' and 'I' and 'L' and 'N' and 'R' and 'T'. 'A' is better plan than 'C' and 'G' and 'K' and 'Q' and 'S'. 'A' is cheaper plan than 'H' and 'J' and 'L' and 'R' and 'T'. 'A' has expected makespan 'A makespan'; while 'B' has expected makespan 'B makespan'. 'A' has number of tasks 'A number of tasks'; while 'B' has number of tasks 'B number of tasks'. 'A' has cost 'A cost'; while 'B' has cost 'B cost'. 'C' is shorter plan than 'B', and 'D' is shorter plan than 'B', and 'F' is shorter plan than 'B', and 'G' is shorter plan than 'B', and 'H' is shorter plan than 'B', and 'I' is shorter plan than 'B', and 'J' is shorter plan than 'B', and 'K' is shorter plan than 'B', and 'L' is shorter plan than 'B', and 'N' is shorter plan than 'B', and 'P' is shorter plan than 'B', and 'Q' is shorter plan than 'B', and 'R' is shorter plan than 'B', and 'S' is shorter plan than 'B', and 'T' is shorter plan than 'B'. 'D' is slower plan than 'B', and 'H' is slower plan than 'B', and 'I' is slower plan than 'B', and 'L' is slower plan than 'B', and 'N' is slower plan than 'B', and 'R' is slower plan than 'B', and 'T' is slower plan than 'B'. 'H' is cheaper plan than 'B', and 'J' is cheaper plan than 'B', and 'L' is cheaper plan than 'B', and 'R' is cheaper plan than 'B', and 'T' is cheaper plan than 'B'. 'F' is better plan than 'B', and 'J' is better plan than 'B', and 'P' is better plan than 'B'. 
"
pair_1,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'C'. 'A' is cheaper plan than 'B' and 'D' and 'G' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'Q' and 'R' and 'S' and 'T'. 'A' is shorter plan than 'D' and 'F' and 'G' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'R' and 'S'. 'A' is faster plan than 'G' and 'K' and 'Q' and 'S'. 'A' is better plan than 'G' and 'K' and 'Q' and 'S'. 'A' has expected makespan 'A makespan'; while 'C' has expected makespan 'C makespan'. 'A' has number of tasks 'A number of tasks'; while 'C' has number of tasks 'C number of tasks'. 'A' has cost 'A cost'; while 'C' has cost 'C cost'. 'B' is cheaper plan than 'C', and 'D' is cheaper plan than 'C', and 'G' is cheaper plan than 'C', and 'H' is cheaper plan than 'C', and 'I' is cheaper plan than 'C', and 'J' is cheaper plan than 'C', and 'K' is cheaper plan than 'C', and 'L' is cheaper plan than 'C', and 'N' is cheaper plan than 'C', and 'Q' is cheaper plan than 'C', and 'R' is cheaper plan than 'C', and 'S' is cheaper plan than 'C', and 'T' is cheaper plan than 'C'. 'D' is shorter plan than 'C', and 'F' is shorter plan than 'C', and 'G' is shorter plan than 'C', and 'H' is shorter plan than 'C', and 'I' is shorter plan than 'C', and 'K' is shorter plan than 'C', and 'L' is shorter plan than 'C', and 'N' is shorter plan than 'C', and 'P' is shorter plan than 'C', and 'R' is shorter plan than 'C', and 'S' is shorter plan than 'C'. 'D' is better plan than 'C', and 'F' is better plan than 'C', and 'G' is better plan than 'C', and 'H' is better plan than 'C', and 'I' is better plan than 'C', and 'K' is better plan than 'C', and 'L' is better plan than 'C', and 'N' is better plan than 'C', and 'P' is better plan than 'C', and 'R' is better plan than 'C', and 'S' is better plan than 'C'. 'G' is faster plan than 'C', and 'K' is faster plan than 'C', and 'Q' is faster plan than 'C', and 'S' is faster plan than 'C'. 
"
pair_2,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'D'. 'A' is cheaper plan than 'B' and 'H' and 'I' and 'J' and 'L' and 'N' and 'R' and 'T'. 'A' is shorter plan than 'H' and 'I' and 'K' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan'; while 'D' has expected makespan 'D makespan'. 'A' has number of tasks 'A number of tasks'; while 'D' has number of tasks 'D number of tasks'. 'A' has cost 'A cost'; while 'D' has cost 'D cost'. 'A' is better plan than 'K' and 'S'. 'D' is plan with same number of tasks as 'S'. 'B' is cheaper plan than 'D', and 'H' is cheaper plan than 'D', and 'I' is cheaper plan than 'D', and 'J' is cheaper plan than 'D', and 'L' is cheaper plan than 'D', and 'N' is cheaper plan than 'D', and 'R' is cheaper plan than 'D', and 'T' is cheaper plan than 'D'. 'H' is shorter plan than 'D', and 'I' is shorter plan than 'D', and 'K' is shorter plan than 'D', and 'P' is shorter plan than 'D', and 'R' is shorter plan than 'D'. 'H' is better plan than 'D', and 'I' is better plan than 'D', and 'P' is better plan than 'D', and 'R' is better plan than 'D'. 
"
pair_3,"'A' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'E'. 'A' is slower plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'L' and 'N' and 'O' and 'R' and 'T'. 'A' is more expensive plan than 'F' and 'O' and 'P'. 'A' has expected makespan 'A makespan'; while 'E' has expected makespan 'E makespan'. 'A' has number of tasks 'A number of tasks'; while 'E' has number of tasks 'E number of tasks'. 'A' has cost 'A cost'; while 'E' has cost 'E cost'. 'A' is worse plan than 'O'. 'B' is slower plan than 'E', and 'D' is slower plan than 'E', and 'H' is slower plan than 'E', and 'I' is slower plan than 'E', and 'J' is slower plan than 'E', and 'L' is slower plan than 'E', and 'N' is slower plan than 'E', and 'O' is slower plan than 'E', and 'R' is slower plan than 'E', and 'T' is slower plan than 'E'. 'B' is worse plan than 'E', and 'D' is worse plan than 'E', and 'H' is worse plan than 'E', and 'I' is worse plan than 'E', and 'J' is worse plan than 'E', and 'L' is worse plan than 'E', and 'N' is worse plan than 'E', and 'R' is worse plan than 'E', and 'T' is worse plan than 'E'. 'F' is more expensive plan than 'E', and 'O' is more expensive plan than 'E', and 'P' is more expensive plan than 'E'. 
"
pair_4,"'A' is more expensive plan than and is shorter plan than and is slower plan than 'F'. 'A' is slower plan than 'B' and 'D' and 'E' and 'H' and 'I' and 'J' and 'L' and 'N' and 'O' and 'P' and 'R' and 'T'. 'A' is shorter plan than 'D' and 'H' and 'I' and 'K' and 'L' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan'; while 'F' has expected makespan 'F makespan'. 'A' has number of tasks 'A number of tasks'; while 'F' has number of tasks 'F number of tasks'. 'A' has cost 'A cost'; while 'F' has cost 'F cost'. 'A' is worse plan than 'E' and 'O'. 'A' is more expensive plan than 'O' and 'P'. 'B' is slower plan than 'F', and 'D' is slower plan than 'F', and 'E' is slower plan than 'F', and 'H' is slower plan than 'F', and 'I' is slower plan than 'F', and 'J' is slower plan than 'F', and 'L' is slower plan than 'F', and 'N' is slower plan than 'F', and 'O' is slower plan than 'F', and 'P' is slower plan than 'F', and 'R' is slower plan than 'F', and 'T' is slower plan than 'F'. 'D' is shorter plan than 'F', and 'H' is shorter plan than 'F', and 'I' is shorter plan than 'F', and 'K' is shorter plan than 'F', and 'L' is shorter plan than 'F', and 'P' is shorter plan than 'F', and 'R' is shorter plan than 'F', and 'S' is shorter plan than 'F'. 'K' is worse plan than 'A', and 'S' is worse plan than 'A', and 'B' is worse plan than 'F', and 'J' is worse plan than 'F', and 'N' is worse plan than 'F', and 'T' is worse plan than 'F'. 'O' is more expensive plan than 'F', and 'P' is more expensive plan than 'F'. 
"
pair_5,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'G'. 'A' is cheaper plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'K' and 'L' and 'N' and 'R' and 'S' and 'T'. 'A' is shorter plan than 'D' and 'F' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'R' and 'S'. 'A' has expected makespan 'A makespan'; while 'G' has expected makespan 'G makespan'. 'A' has number of tasks 'A number of tasks'; while 'G' has number of tasks 'G number of tasks'. 'A' has cost 'A cost'; while 'G' has cost 'G cost'. 'A' is faster plan than 'K' and 'S'. 'A' is better plan than 'K' and 'S'. 'B' is cheaper plan than 'G', and 'D' is cheaper plan than 'G', and 'H' is cheaper plan than 'G', and 'I' is cheaper plan than 'G', and 'J' is cheaper plan than 'G', and 'K' is cheaper plan than 'G', and 'L' is cheaper plan than 'G', and 'N' is cheaper plan than 'G', and 'R' is cheaper plan than 'G', and 'S' is cheaper plan than 'G', and 'T' is cheaper plan than 'G'. 'D' is shorter plan than 'G', and 'F' is shorter plan than 'G', and 'H' is shorter plan than 'G', and 'I' is shorter plan than 'G', and 'K' is shorter plan than 'G', and 'L' is shorter plan than 'G', and 'N' is shorter plan than 'G', and 'P' is shorter plan than 'G', and 'R' is shorter plan than 'G', and 'S' is shorter plan than 'G'. 'D' is better plan than 'G', and 'F' is better plan than 'G', and 'H' is better plan than 'G', and 'I' is better plan than 'G', and 'K' is better plan than 'G', and 'L' is better plan than 'G', and 'N' is better plan than 'G', and 'P' is better plan than 'G', and 'R' is better plan than 'G', and 'S' is better plan than 'G'. 'K' is faster plan than 'G', and 'S' is faster plan than 'G'. 
"
pair_6,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'H'. 'A' is slower plan than 'D' and 'I' and 'N' and 'R'. 'H' is better plan than 'D' and 'I' and 'N' and 'R'. 'A' has expected makespan 'A makespan'; while 'H' has expected makespan 'H makespan'. 'A' has number of tasks 'A number of tasks'; while 'H' has number of tasks 'H number of tasks'. 'A' has cost 'A cost'; while 'H' has cost 'H cost'. 'A' is cheaper plan than 'J'. 'D' is slower plan than 'H', and 'I' is slower plan than 'H', and 'N' is slower plan than 'H', and 'R' is slower plan than 'H'. 'J' is cheaper plan than 'H'. 
"
pair_7,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'I'. 'A' is cheaper plan than 'B' and 'H' and 'J' and 'L' and 'N' and 'R' and 'T'. 'A' is shorter plan than 'H' and 'K' and 'P' and 'R'. 'A' is slower plan than 'D' and 'N' and 'R'. 'A' has expected makespan 'A makespan'; while 'I' has expected makespan 'I makespan'. 'A' has number of tasks 'A number of tasks'; while 'I' has number of tasks 'I number of tasks'. 'A' has cost 'A cost'; while 'I' has cost 'I cost'. 'A' is better plan than 'K'; while 'I' is better plan than 'D'. 'I' is plan with same cost as 'N'. 'B' is cheaper plan than 'I', and 'H' is cheaper plan than 'I', and 'J' is cheaper plan than 'I', and 'L' is cheaper plan than 'I', and 'R' is cheaper plan than 'I', and 'T' is cheaper plan than 'I'. 'H' is shorter plan than 'I', and 'K' is shorter plan than 'I', and 'P' is shorter plan than 'I', and 'R' is shorter plan than 'I'. 'D' is slower plan than 'I', and 'N' is slower plan than 'I', and 'R' is slower plan than 'I'. 'H' is better plan than 'I', and 'P' is better plan than 'I'. 
"
pair_8,"'A' is cheaper plan than and is shorter plan than and is slower plan than 'J'. 'A' is shorter plan than 'C' and 'D' and 'F' and 'G' and 'H' and 'I' and 'K' and 'L' and 'N' and 'P' and 'Q' and 'R' and 'S' and 'T'. 'A' is slower plan than 'B' and 'D' and 'H' and 'I' and 'L' and 'N' and 'O' and 'R' and 'T'. 'A' is better plan than 'C' and 'G' and 'K' and 'Q' and 'S'; while 'J' is better plan than 'B'. 'A' has expected makespan 'A makespan'; while 'J' has expected makespan 'J makespan'. 'A' has number of tasks 'A number of tasks'; while 'J' has number of tasks 'J number of tasks'. 'A' has cost 'A cost'; while 'J' has cost 'J cost'. 'C' is shorter plan than 'J', and 'D' is shorter plan than 'J', and 'F' is shorter plan than 'J', and 'G' is shorter plan than 'J', and 'H' is shorter plan than 'J', and 'I' is shorter plan than 'J', and 'K' is shorter plan than 'J', and 'L' is shorter plan than 'J', and 'N' is shorter plan than 'J', and 'P' is shorter plan than 'J', and 'Q' is shorter plan than 'J', and 'R' is shorter plan than 'J', and 'S' is shorter plan than 'J', and 'T' is shorter plan than 'J'. 'B' is slower plan than 'J', and 'D' is slower plan than 'J', and 'H' is slower plan than 'J', and 'I' is slower plan than 'J', and 'L' is slower plan than 'J', and 'N' is slower plan than 'J', and 'O' is slower plan than 'J', and 'R' is slower plan than 'J', and 'T' is slower plan than 'J'. 'O' is better plan than 'A', and 'F' is better plan than 'J', and 'P' is better plan than 'J'. 
"
pair_9,"'A' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'K'. 'A' is cheaper plan than 'B' and 'D' and 'H' and 'I' and 'J' and 'L' and 'N' and 'R' and 'S' and 'T'. 'A' has expected makespan 'A makespan'; while 'K' has expected makespan 'K makespan'. 'A' has number of tasks 'A number of tasks'; while 'K' has number of tasks 'K number of tasks'. 'A' has cost 'A cost'; while 'K' has cost 'K cost'. 'A' is shorter plan than 'H'. 'A' is faster plan than 'S'. 'A' is better plan than 'S'. 'B' is cheaper plan than 'K', and 'D' is cheaper plan than 'K', and 'H' is cheaper plan than 'K', and 'I' is cheaper plan than 'K', and 'J' is cheaper plan than 'K', and 'L' is cheaper plan than 'K', and 'N' is cheaper plan than 'K', and 'R' is cheaper plan than 'K', and 'S' is cheaper plan than 'K', and 'T' is cheaper plan than 'K'. 'H' is shorter plan than 'K'. 'H' is better plan than 'K'. 'S' is faster plan than 'K'. 
"
